Feature,Importance
grade,0.39447263
waterfront,0.20664515
sqft_living,0.11152476
lat,0.06254753
view,0.035603676
long,0.03374455
renovation_age,0.02362986
yr_built,0.020609597
bathrooms,0.020608913
sqft_living15,0.017270135
zipcode,0.013549593
sqft_above,0.009879062
condition,0.007284051
sale_year,0.007048426
yr_renovated,0.0068654255
sqft_lot15,0.005577984
sqft_lot,0.00528455
sqft_basement,0.0045836465
bath_bed_ratio,0.0042385664
bedrooms,0.0032755553
floors,0.003110261
sale_month,0.0026460732
is_renovated,0.0
house_age,0.0
